id,code,name
enderase_admin_region_ET14,ET14,Addis Ababa
enderase_admin_region_ET02,ET02,Afar
enderase_admin_region_ET03,ET03,Amhara
enderase_admin_region_ET06,ET06,Benishangul-Gumuz
enderase_admin_region_ET07,ET07,Central Ethiopia
enderase_admin_region_ET15,ET15,Dire Dawa
enderase_admin_region_ET12,ET12,Gambela
enderase_admin_region_ET13,ET13,Harari
enderase_admin_region_ET04,ET04,Oromia
enderase_admin_region_ET16,ET16,Sidama
enderase_admin_region_ET05,ET05,Somali
enderase_admin_region_ET08,ET08,South Ethiopia People
enderase_admin_region_ET11,ET11,South West Ethiopia People
enderase_admin_region_ET01,ET01,Tigray
