id,code,name,region_id/id,zone_id/id
enderase_admin_woreda_ET050699,ET050699,Aba-Korow,enderase_admin_region_ET05,enderase_admin_zone_ET0506
enderase_admin_woreda_ET020203,ET020203,Abaala,enderase_admin_region_ET02,enderase_admin_zone_ET0202
enderase_admin_woreda_ET020209,ET020209,Abaala town,enderase_admin_region_ET02,enderase_admin_zone_ET0202
enderase_admin_woreda_ET041904,ET041904,Ababo,enderase_admin_region_ET04,enderase_admin_zone_ET0419
enderase_admin_woreda_ET130109,ET130109,Abadir,enderase_admin_region_ET13,enderase_admin_zone_ET1301
enderase_admin_woreda_ET041905,ET041905,Abay Chomen,enderase_admin_region_ET04,enderase_admin_zone_ET0419
enderase_admin_woreda_ET041513,ET041513,Abaya,enderase_admin_region_ET04,enderase_admin_zone_ET0415
enderase_admin_woreda_ET041910,ET041910,Abe Dongoro,enderase_admin_region_ET04,enderase_admin_zone_ET0419
enderase_admin_woreda_ET080121,ET080121,Abela Abaya,enderase_admin_region_ET08,enderase_admin_zone_ET0801
enderase_admin_woreda_ET030805,ET030805,Abergele (AM),enderase_admin_region_ET03,enderase_admin_zone_ET0308
enderase_admin_woreda_ET010210,ET010210,Abergele (TG),enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET070102,ET070102,Abeshege,enderase_admin_region_ET07,enderase_admin_zone_ET0701
enderase_admin_woreda_ET040609,ET040609,Abichugna Gne'a,enderase_admin_region_ET04,enderase_admin_zone_ET0406
enderase_admin_woreda_ET020308,ET020308,Abida,enderase_admin_region_ET02,enderase_admin_zone_ET0203
enderase_admin_woreda_ET120201,ET120201,Abobo,enderase_admin_region_ET12,enderase_admin_zone_ET1202
enderase_admin_woreda_ET130108,ET130108,Aboker,enderase_admin_region_ET13,enderase_admin_zone_ET1301
enderase_admin_woreda_ET060303,ET060303,Abrahmo,enderase_admin_region_ET06,enderase_admin_zone_ET0603
enderase_admin_woreda_ET040516,ET040516,Abuna Ginde Beret,enderase_admin_region_ET04,enderase_admin_zone_ET0405
enderase_admin_woreda_ET010211,ET010211,Abyi  Adi town,enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET040706,ET040706,Ada'a,enderase_admin_region_ET04,enderase_admin_zone_ET0407
enderase_admin_woreda_ET041710,ET041710,Adaba,enderase_admin_region_ET04,enderase_admin_zone_ET0417
enderase_admin_woreda_ET050602,ET050602,Adadle,enderase_admin_region_ET05,enderase_admin_zone_ET0506
enderase_admin_woreda_ET031205,ET031205,Adagn Ager Chaqo,enderase_admin_region_ET03,enderase_admin_zone_ET0312
enderase_admin_woreda_ET040703,ET040703,Adama,enderase_admin_region_ET04,enderase_admin_zone_ET0407
enderase_admin_woreda_ET040714,ET040714,Adama town,enderase_admin_region_ET04,enderase_admin_zone_ET0407
enderase_admin_woreda_ET040708,ET040708,Adama Tulu Jido Kombolcha,enderase_admin_region_ET04,enderase_admin_zone_ET0407
enderase_admin_woreda_ET020109,ET020109,Adar,enderase_admin_region_ET02,enderase_admin_zone_ET0201
enderase_admin_woreda_ET040513,ET040513,Adda Berga,enderase_admin_region_ET04,enderase_admin_zone_ET0405
enderase_admin_woreda_ET030101,ET030101,Addi Arekay,enderase_admin_region_ET03,enderase_admin_zone_ET0301
enderase_admin_woreda_ET150109,ET150109,Addis Ketema (DD),enderase_admin_region_ET15,enderase_admin_zone_ET1501
enderase_admin_woreda_ET140108,ET140108,Addis Ketema Sub City,enderase_admin_region_ET14,enderase_admin_zone_ET1401
enderase_admin_woreda_ET030910,ET030910,Addis Kidame town,enderase_admin_region_ET03,enderase_admin_zone_ET0309
enderase_admin_woreda_ET030299,ET030299,Addis Zemen town,enderase_admin_region_ET03,enderase_admin_zone_ET0302
enderase_admin_woreda_ET010207,ET010207,Adet,enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET031309,ET031309,Adet town,enderase_admin_region_ET03,enderase_admin_zone_ET0313
enderase_admin_woreda_ET010111,ET010111,Adi Daero,enderase_admin_region_ET01,enderase_admin_zone_ET0101
enderase_admin_woreda_ET010308,ET010308,Adigrat town,enderase_admin_region_ET01,enderase_admin_zone_ET0103
enderase_admin_woreda_ET010607,ET010607,Adigudom,enderase_admin_region_ET01,enderase_admin_zone_ET0106
enderase_admin_woreda_ET010705,ET010705,Adihaki Sub City,enderase_admin_region_ET01,enderase_admin_zone_ET0107
enderase_admin_woreda_ET070309,ET070309,Adilo,enderase_admin_region_ET07,enderase_admin_zone_ET0703
enderase_admin_woreda_ET110205,ET110205,Adiyio,enderase_admin_region_ET11,enderase_admin_zone_ET1102
enderase_admin_woreda_ET041403,ET041403,Adola,enderase_admin_region_ET04,enderase_admin_zone_ET0414
enderase_admin_woreda_ET041492,ET041492,Adola town,enderase_admin_region_ET04,enderase_admin_zone_ET0414
enderase_admin_woreda_ET010204,ET010204,Adwa,enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET010212,ET010212,Adwa town,enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET020104,ET020104,Afambo,enderase_admin_region_ET02,enderase_admin_zone_ET0201
enderase_admin_woreda_ET050105,ET050105,Afdem,enderase_admin_region_ET05,enderase_admin_zone_ET0501
enderase_admin_woreda_ET020207,ET020207,Afdera,enderase_admin_region_ET02,enderase_admin_zone_ET0202
enderase_admin_woreda_ET041482,ET041482,Aga Wayu,enderase_admin_region_ET04,enderase_admin_zone_ET0414
enderase_admin_woreda_ET041104,ET041104,Agarfa,enderase_admin_region_ET04,enderase_admin_zone_ET0411
enderase_admin_woreda_ET040417,ET040417,Agaro town,enderase_admin_region_ET04,enderase_admin_zone_ET0404
enderase_admin_woreda_ET030909,ET030909,Agew Gimija Bet town,enderase_admin_region_ET03,enderase_admin_zone_ET0309
enderase_admin_woreda_ET010316,ET010316,Agulae,enderase_admin_region_ET01,enderase_admin_zone_ET0103
enderase_admin_woreda_ET010202,ET010202,Aheferom,enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET010215,ET010215,Ahsea,enderase_admin_region_ET01,enderase_admin_zone_ET0102
enderase_admin_woreda_ET040712,ET040712,Akaki,enderase_admin_region_ET04,enderase_admin_zone_ET0407
enderase_admin_woreda_ET140101,ET140101,Akaki Kality Sub City,enderase_admin_region_ET14,enderase_admin_zone_ET1401
enderase_admin_woreda_ET030427,ET030427,Akeseta town,enderase_admin_region_ET03,enderase_admin_zone_ET0304
enderase_admin_woreda_ET120101,ET120101,Akobo,enderase_admin_region_ET12,enderase_admin_zone_ET1201
enderase_admin_woreda_ET010411,ET010411,Alamata town,enderase_admin_region_ET01,enderase_admin_zone_ET0104
enderase_admin_woreda_ET030408,ET030408,Albuko,enderase_admin_region_ET03,enderase_admin_zone_ET0304
enderase_admin_woreda_ET040311,ET040311,Ale,enderase_admin_region_ET04,enderase_admin_zone_ET0403
enderase_admin_woreda_ET031115,ET031115,Alefa,enderase_admin_region_ET03,enderase_admin_zone_ET0311
enderase_admin_woreda_ET040617,ET040617,Aleltu,enderase_admin_region_ET04,enderase_admin_zone_ET0406
enderase_admin_woreda_ET030599,ET030599,Aleme Ketma town,enderase_admin_region_ET03,enderase_admin_zone_ET0305
enderase_admin_woreda_ET160016,ET160016,Aleta Chuko,enderase_admin_region_ET16,enderase_admin_zone_ET1600
enderase_admin_woreda_ET160005,ET160005,Aleta Wendo,enderase_admin_region_ET16,enderase_admin_zone_ET1600
enderase_admin_woreda_ET160021,ET160021,Aleta Wondo town,enderase_admin_region_ET16,enderase_admin_zone_ET1600
enderase_admin_woreda_ET040302,ET040302,Alge Sachi,enderase_admin_region_ET04,enderase_admin_zone_ET0403
enderase_admin_woreda_ET072001,ET072001,Alicho Woriro,enderase_admin_region_ET07,enderase_admin_zone_ET0720
enderase_admin_woreda_ET080601,ET080601,Alle,enderase_admin_region_ET08,enderase_admin_zone_ET0806
enderase_admin_woreda_ET030618,ET030618,Amanuel town,enderase_admin_region_ET03,enderase_admin_zone_ET0306
enderase_admin_woreda_ET080801,ET080801,Amaro,enderase_admin_region_ET08,enderase_admin_zone_ET0808
enderase_admin_woreda_ET110603,ET110603,Amaya town,enderase_admin_region_ET11,enderase_admin_zone_ET1106
