id,code,name,region_id/id
enderase_admin_zone_ET1401,ET1401,Addis Ababa,enderase_admin_region_ET14
enderase_admin_zone_ET0508,ET0508,Afder,enderase_admin_region_ET05
enderase_admin_zone_ET1202,ET1202,Agnewak,enderase_admin_region_ET12
enderase_admin_zone_ET0806,ET0806,Alle,enderase_admin_region_ET08
enderase_admin_zone_ET0808,ET0808,Amaro,enderase_admin_region_ET08
enderase_admin_zone_ET0408,ET0408,Arsi,enderase_admin_region_ET04
enderase_admin_zone_ET0603,ET0603,Assosa,enderase_admin_region_ET06
enderase_admin_zone_ET0309,ET0309,Awi,enderase_admin_region_ET03
enderase_admin_zone_ET0201,ET0201,Awsi /Zone 1,enderase_admin_region_ET02
enderase_admin_zone_ET0314,ET0314,Bahir Dar,enderase_admin_region_ET03
enderase_admin_zone_ET0411,ET0411,Bale,enderase_admin_region_ET04
enderase_admin_zone_ET0804,ET0804,Basketo,enderase_admin_region_ET08
enderase_admin_zone_ET1103,ET1103,Bench Sheko,enderase_admin_region_ET11
enderase_admin_zone_ET0412,ET0412,Borena,enderase_admin_region_ET04
enderase_admin_zone_ET0416,ET0416,Buno Bedele,enderase_admin_region_ET04
enderase_admin_zone_ET0810,ET0810,Burji,enderase_admin_region_ET08
enderase_admin_zone_ET0102,ET0102,Central,enderase_admin_region_ET01
enderase_admin_zone_ET0311,ET0311,Central Gondar,enderase_admin_region_ET03
enderase_admin_zone_ET0511,ET0511,Daawa,enderase_admin_region_ET05
enderase_admin_zone_ET1104,ET1104,Dawuro,enderase_admin_region_ET11
enderase_admin_zone_ET0807,ET0807,Derashe,enderase_admin_region_ET08
enderase_admin_zone_ET1502,ET1502,Dire Dawa rural,enderase_admin_region_ET15
enderase_admin_zone_ET1501,ET1501,Dire Dawa urban,enderase_admin_region_ET15
enderase_admin_zone_ET0507,ET0507,Doolo,enderase_admin_region_ET05
enderase_admin_zone_ET0421,ET0421,East Bale,enderase_admin_region_ET04
enderase_admin_zone_ET0422,ET0422,East Borena,enderase_admin_region_ET04
enderase_admin_zone_ET0306,ET0306,East Gojam,enderase_admin_region_ET03
enderase_admin_zone_ET0704,ET0704,East Guraghe,enderase_admin_region_ET07
enderase_admin_zone_ET0410,ET0410,East Hararge,enderase_admin_region_ET04
enderase_admin_zone_ET0407,ET0407,East Shewa,enderase_admin_region_ET04
enderase_admin_zone_ET0402,ET0402,East Wellega,enderase_admin_region_ET04
