id,code,name
enderase_profession_student,student,Student
enderase_profession_agriculture,agriculture,Agriculture
enderase_profession_health_care,health_care,Health Care
enderase_profession_education_training,education_training,Education/Training
enderase_profession_information_technology,information_technology,Information Technology
enderase_profession_engineering,engineering,Engineering
enderase_profession_construction,construction,Construction
enderase_profession_manufacturing,manufacturing,Manufacturing
enderase_profession_business_entrepreneurship,business_entrepreneurship,Business/Entrepreneurship
enderase_profession_sales_retail,sales_retail,Sales/Retail
enderase_profession_finance_accounting,finance_accounting,Finance/Accounting
enderase_profession_hospitality_tourism,hospitality_tourism,Hospitality/Tourism
enderase_profession_transportation_logistics,transportation_logistics,Transportation/Logistics
enderase_profession_media_communications,media_communications,Media/Communications
enderase_profession_legal_services,legal_services,Legal Services
enderase_profession_public_service_government,public_service_government,Public Service/Government
enderase_profession_ngo_social_work,ngo_social_work,NGO/Social Work
enderase_profession_skilled_trades,skilled_trades,Skilled Trades
enderase_profession_security_services,security_services,Security Services
enderase_profession_unemployed,unemployed,Unemployed
enderase_profession_other,other,Other
