id,code,name
enderase_subcity_addis_ketema,addis_ketema,Addis Ketema
enderase_subcity_akaki_kaliti,akaki_kaliti,Akaki Kaliti
enderase_subcity_arada,arada,Arada
enderase_subcity_bole,bole,Bole
enderase_subcity_gullele,gullele,Gullele
enderase_subcity_kirkos,kirkos,Kirkos
enderase_subcity_kolfe_keranio,kolfe_keranio,Kolfe Keranio
enderase_subcity_lideta,lideta,Lideta
enderase_subcity_nifas_silk_lafto,nifas_silk_lafto,Nifas Silk-Lafto
enderase_subcity_yeka,yeka,Yeka
enderase_subcity_lemi_kura,lemi_kura,Lemi Kura
