id,code,name
enderase_training_area_computer_skills,computer_skills,Computer Skills
enderase_training_area_programming,programming,Programming
enderase_training_area_graphic_design,graphic_design,Graphic Design
enderase_training_area_digital_marketing,digital_marketing,Digital Marketing
enderase_training_area_electrical_installation,electrical_installation,Electrical Installation
enderase_training_area_plumbing,plumbing,Plumbing
enderase_training_area_carpentry,carpentry,Carpentry
enderase_training_area_tailoring,tailoring,Tailoring
enderase_training_area_agriculture,agriculture,Agriculture
enderase_training_area_hospitality,hospitality,Hospitality
enderase_training_area_entrepreneurship,entrepreneurship,Entrepreneurship
enderase_training_area_financial_literacy,financial_literacy,Financial Literacy
enderase_training_area_other,other,Other
